,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,DateTime
0,baramati,18.15,74.58,72.53599999999997,33,0,1.93,IN,2020-03-03 19:47:59
1,hilo,19.73,-155.09,70.10600000000002,88,90,1.5,US,2020-03-03 19:45:49
2,avarua,-21.21,-159.78,84.46999999999997,83,7,1.5,CK,2020-03-03 19:48:00
3,kavaratti,10.57,72.64,84.46999999999997,66,20,2.1,IN,2020-03-03 19:48:00
4,oranjestad,12.52,-70.03,80.86999999999996,69,20,8.2,AW,2020-03-03 19:45:59
5,barrow,71.29,-156.79,-23.529999999999994,74,1,3.1,US,2020-03-03 19:48:01
6,chernyshevskiy,63.01,112.47,14.558000000000003,93,100,1.83,RU,2020-03-03 19:48:02
7,jamestown,42.1,-79.24,38.01199999999996,97,90,4.6,US,2020-03-03 19:48:02
8,esperance,-33.87,121.9,73.66999999999996,46,100,3.6,AU,2020-03-03 19:48:02
9,rikitea,-23.12,-134.97,79.01600000000002,80,100,7.72,PF,2020-03-03 19:48:03
10,ushuaia,-54.8,-68.3,53.86999999999996,62,75,9.8,AR,2020-03-03 19:45:03
11,vestmannaeyjar,63.44,-20.27,37.346000000000046,55,100,9.26,IS,2020-03-03 19:48:04
12,illoqqortoormiut,,,,,,,,
13,mahebourg,-20.41,57.7,78.99800000000002,94,20,1.34,MU,2020-03-03 19:48:05
14,mataura,-46.19,168.86,58.26199999999996,50,1,4.47,NZ,2020-03-03 19:48:05
15,omsukchan,62.53,155.8,2.3359999999999665,88,80,4.63,RU,2020-03-03 19:48:06
16,rabo de peixe,37.8,-25.58,64.66999999999996,93,40,8.2,PT,2020-03-03 19:48:06
17,shiyan,32.65,110.78,55.274000000000015,65,100,1.73,CN,2020-03-03 19:48:07
18,urengoy,65.97,78.37,24.458000000000006,95,100,6.22,RU,2020-03-03 19:48:07
19,sioux lookout,50.1,-91.92,22.208000000000006,92,90,4.1,CA,2020-03-03 19:45:51
20,tomra,62.58,6.93,35.94199999999999,56,100,4.1,NO,2020-03-03 19:48:08
21,thompson,55.74,-97.86,14.269999999999957,85,90,2.6,CA,2020-03-03 19:48:09
22,katsuura,35.13,140.3,50.233999999999995,93,75,4.6,JP,2020-03-03 19:48:09
23,hobart,-42.88,147.33,70.21400000000003,45,20,5.7,AU,2020-03-03 19:44:43
24,bambanglipuro,-7.95,110.28,86.18000000000004,64,84,3.07,ID,2020-03-03 19:48:10
25,vaini,-21.2,-175.2,84.46999999999997,74,75,4.6,TO,2020-03-03 19:48:11
26,busselton,-33.65,115.33,87.69200000000001,15,88,2.56,AU,2020-03-03 19:47:51
27,geraldton,-28.77,114.6,98.86999999999996,18,0,4.1,AU,2020-03-03 19:47:48
28,albany,42.6,-73.97,45.535999999999966,70,90,6.2,US,2020-03-03 19:48:01
29,florida,28.75,-82.5,67.47799999999997,93,1,2.48,US,2020-03-03 19:48:12
30,chuy,-33.7,-53.46,67.87400000000002,89,0,4.15,UY,2020-03-03 19:48:13
31,mar del plata,-38,-57.56,69.49399999999997,87,0,3.58,AR,2020-03-03 19:48:13
32,saint-philippe,-21.36,55.77,80.02400000000002,88,75,4.6,RE,2020-03-03 19:48:14
33,taolanaro,,,,,,,,
34,sao joao da barra,-21.64,-41.05,73.59800000000003,90,65,2.5,BR,2020-03-03 19:48:15
35,colares,38.8,-9.45,59.522000000000034,93,75,3.1,PT,2020-03-03 19:48:15
36,ribeira grande,38.52,-28.7,58.62200000000004,89,99,9.12,PT,2020-03-03 19:48:15
37,svetlogorsk,52.63,29.73,41.70199999999998,87,90,3.79,BY,2020-03-03 19:48:16
38,goma,-1.68,29.22,56.408,97,93,1.14,CD,2020-03-03 19:48:16
39,lagoa,39.05,-27.98,61.556000000000026,84,97,10.23,PT,2020-03-03 19:48:17
40,kamenskoye,,,,,,,,
41,nanortalik,60.14,-45.24,15.619999999999958,67,0,6.34,GL,2020-03-03 19:48:18
42,butaritari,3.07,172.79,82.81400000000004,78,100,6.98,KI,2020-03-03 19:48:18
43,mys shmidta,,,,,,,,
44,cape town,-33.93,18.42,64.184,88,0,7.7,ZA,2020-03-03 19:43:12
45,ciudad bolivar,8.12,-63.55,79.808,50,2,5.79,VE,2020-03-03 19:43:31
46,narsaq,60.92,-46.05,3.46999999999996,41,0,2.1,GL,2020-03-03 19:48:20
47,ancud,-41.87,-73.82,50.26999999999996,93,88,1.5,CL,2020-03-03 19:48:20
48,puerto ayora,-0.74,-90.35,79.26799999999999,100,73,0.45,EC,2020-03-03 19:48:21
49,san patricio,19.22,-104.7,74.37200000000004,82,0,7.96,MX,2020-03-03 19:48:21
50,paradwip,,,,,,,,
51,punta arenas,-53.15,-70.92,50.26999999999996,81,20,4.6,CL,2020-03-03 19:48:22
52,belushya guba,,,,,,,,
53,namatanai,-3.67,152.43,86.50399999999996,68,100,3.04,PG,2020-03-03 19:48:23
54,upernavik,72.79,-56.15,-18.471999999999987,55,100,1.06,GL,2020-03-03 19:48:24
55,pierre,44.37,-100.35,34.214000000000034,86,75,3.1,US,2020-03-03 19:44:39
56,christiansburg,37.13,-80.41,50.161999999999956,43,1,3.1,US,2020-03-03 19:46:34
57,port alfred,-33.59,26.89,64.27400000000002,96,0,4.92,ZA,2020-03-03 19:48:25
58,koyelga,54.65,60.9,20.408,79,68,4.31,RU,2020-03-03 19:48:25
59,scottsburgh,,,,,,,,
60,verkhnyaya inta,65.98,60.31,10.958000000000002,86,100,10.97,RU,2020-03-03 19:48:26
61,lolua,,,,,,,,
62,souillac,-20.52,57.52,78.99800000000002,94,20,1.34,MU,2020-03-03 19:48:27
63,olafsvik,64.89,-23.71,31.640000000000022,58,40,4.6,IS,2020-03-03 19:48:28
64,castro,-24.79,-50.01,54.57200000000004,99,11,1.53,BR,2020-03-03 19:48:28
65,east london,-33.02,27.91,68.26999999999995,94,0,4.1,ZA,2020-03-03 19:48:29
66,nantucket,41.28,-70.1,48.75800000000001,93,90,5.7,US,2020-03-03 19:43:57
67,luau,-10.71,22.22,63.37400000000001,97,90,1.37,AO,2020-03-03 19:48:29
68,bluff,-46.6,168.33,58.26199999999996,50,49,4.47,NZ,2020-03-03 19:48:30
69,mehamn,71.04,27.85,26.86999999999996,73,20,7.7,NO,2020-03-03 19:48:30
70,rognan,67.1,15.39,30.361999999999956,50,20,11.8,NO,2020-03-03 19:48:31
71,necochea,-38.55,-58.74,65.26400000000004,95,0,0.89,AR,2020-03-03 19:48:31
72,lamu,-2.27,40.9,82.63399999999999,82,67,4.19,KE,2020-03-03 19:48:32
73,hailey,43.52,-114.32,29.372000000000035,82,5,1.59,US,2020-03-03 19:48:32
74,saint-raymond,45.47,-73.61,34.71799999999998,99,90,5.1,CA,2020-03-03 19:48:33
75,inhambane,-23.86,35.38,73.66999999999996,78,20,2.1,MZ,2020-03-03 19:48:33
76,shimoda,34.67,138.95,51.09800000000003,81,75,6.2,JP,2020-03-03 19:48:34
77,lauchhammer,51.5,13.8,33.61999999999996,74,23,2.1,DE,2020-03-03 19:48:34
78,amderma,,,,,,,,
79,namibe,-15.2,12.15,74.10199999999998,78,0,6.84,AO,2020-03-03 19:48:35
80,sisimiut,66.94,-53.67,-10.804000000000002,43,0,2.88,GL,2020-03-03 19:48:36
81,provideniya,64.38,-173.3,10.669999999999959,72,69,3,RU,2020-03-03 19:48:36
82,butembo,0.15,29.28,61.88000000000004,92,87,1.68,CD,2020-03-03 19:48:36
83,talnakh,69.49,88.4,10.669999999999959,85,75,4,RU,2020-03-03 19:48:37
84,portland,45.52,-122.68,51.674000000000014,54,90,4.1,US,2020-03-03 19:47:08
85,paamiut,61.99,-49.67,1.3459999999999965,48,0,2.03,GL,2020-03-03 19:48:38
86,qaanaaq,77.48,-69.36,-14.098000000000027,96,100,0.31,GL,2020-03-03 19:48:38
87,poopo,-18.37,-66.97,52.141999999999996,62,99,3.49,BO,2020-03-03 19:48:39
88,elliot lake,46.38,-82.63,28.66999999999996,92,90,1.19,CA,2020-03-03 19:44:56
